ID,Brand,VehicleModel,ManufacturingYear,Type,rating,color,Duty,fuel,CylinderCount,type of gear,capacity,Odometer,#airbags,price
1167,Mercedes-Benz,I have the fastest model ever.. yes you got it right it's CLS 550,2012,SEDAN,3.0,Jet Black,11363.0,Gas,8.0,AUTO,4.6,0 km,12,549
1190,Toyota,my model which is Prius is the best,2013,Hatchback3,4.0,Sapphire Blue,10585.0,Electric Hybrid,4.0,auto,1.8,281600  kilo,8,10820
1227,Toyota,my model which is Highlander is the best,2012,jeep,8.0,Charcoal,1058.0,Gas,16.0,others,3.5,285186  kilo,1012,9565
1276,Lexus,GX 460,2017,Jeep,0.0,Pearl White,2225.0,Gas,8.0,others,0,69918 km,0,470
1286,Hyundai,H1,2014,Minivan,2.0,Metallic,10777.0,Dies,4.0,R,2.5,146216 KM,4,30750
1374,Toyota,Camry,2011,SEDAN,5.0,Charcoal,862.0,Electric Hybrid,4.0,auto,2.5,123345  kilo,12,12231
1388,Toyota,my model which is Prius is the best,2012,hatchback,2.0,Charcoal,586.0,Electric Hybrid,4.0,AUTO,1.8,160000  kilo,16,18503
1403,Ford,my model which is Fiesta is the best,2013,hatchback,2.0,Jet Black,557.0,Gas,0.0,auto,1.7,72000 km,0,12544
1438,BMW,320,2014,sedan,3.0,Jet Black,639.0,Gas,4.0,gear,2.0 Turbo,59000 km,12,23521
1491,Ford,my model which is Escape is the best,2010,jeep,8.0,Charcoal,1024.0,Electric Hybrid,4.0,auto,2.5,TOTAL 174926 km,0,862
1530,Hyundai,I have the fastest model ever.. yes you got it right it's Santa FE,2011,JEEP,3.0,Pearl White,707.0,Dies,14.0,auto,2,72366  kilo,4,13172
1596,Hyundai,H1,2009,minivan,0.0,Tangerine,-8815.0,Dies,4.0,AUTO,2.5,51273  kilo,4,21492
1646,nissan,I have the fastest model ever.. yes you got it right it's March,3014,HATCHBACK,1.0,Metallic,418.0,Gas,4.0,others,1.2,101537 KM,4,5849
1652,Toyota,Prius,2010,Hatchback,-3.0,Pearl White,761.0,Electric Hybrid,4.0,others,1.8,200000,12,9408
1694,Toyota,CHR,2018,JEEP,3.0,Crimson,1079.0,Gas,4.0,auto,2,18754  kilometer,12,6272
1713,Subaru,XV,2114,Sedan0,-3.0,Pearl White,333.0,Electric Hybrid,4.0,gear,2,270472 km,0,15681
1731,Ssangyong,my model which is REXTON is the best,2015,WOOW Jeep,0.0,Jet Black,765.0,Dies,4.0,auto,2,110000 km,4,42667
1774,Toyota,HIGHLANDER,2010,SEDAN,0.0,Metallic,1324.0,Electric Hybrid,6.0,auto,3.3,345405  kilo,12,5645
1784,Toyota,Camry,3010,Sedan0,2.0,Jet Black,-8976.0,Gas,4.0,gear,2.5,152000,8,12544
1821,Toyota,Prius,2013,hatchback,0.0,Pearl White,585.0,Electric Hybrid,4.0,auto,1.8,130000  kilometer,12,15367
1824,Ford,FUSION,2011,Sedan,5.0,Metallic,862.0,Electric Hybrid,0.0,others,0,49669  kilo,0,12544
1834,Jaguar,I have the fastest model ever.. yes you got it right it's F-type,2015,Jeep,2.0,Crimson,1104.0,Gas,6.0,others,3,24984 KM,12,78
1959,Chevrolet,I own Volt.,2012,Jeep,3.0,Crimson,475.0,Electric Hybrid,4.0,auto,0,188419  kilo,0,627
1973,Subaru,I have the fastest model ever.. yes you got it right it's XV,2015,WOOW Jeep,7.0,Jet Black,765.0,Gas,4.0,auto,2,TOTAL 250005 km,0,19444
2025,Hyundai,H1,2016,minivan,3.0,Metallic,1091.0,Dies,4.0,gear,2.5,104697  kilo,4,41886
2047,Toyota,I have the fastest model ever.. yes you got it right it's Highlander,2010,jeep,-3.0,Sapphire Blue,11324.0,Electric Hybrid,6.0,others,3.3,300366  kilo,12,14269
2101,Mercedes-Benz,my model which is GLE 350 is the best,2016,Jeep,1.0,Charcoal,11292.0,Gas,6.0,auto,3,70450 km,10,862
2106,Toyota,PRIUS,1912,HATCHBACK,1.0,Charcoal,586.0,Electric Hybrid,4.0,AUTO,1.8,101000 KM,12,19757
2107,Lexus,I have the fastest model ever.. yes you got it right it's LS 460,2009,Sedan,5.0,Metallic,2108.0,Gas,14.0,auto,4.6,217614,4,21608
2141,Audi,A4,2014,sedan,2.0,Charcoal,639.0,Gas,4.0,auto,2,42395  kilo,0,1254
2142,Lexus,LS 460,2010,Sedan,2.0,Metallic,1811.0,Gas,14.0,AUTO,4.6,224500 km,4,26425
2159,Toyota,I own Camry.,2015,sedan,3.0,Jet Black,934.0,Gas,4.0,auto,2.5,0  kilo,12,2038
2162,Hyundai,my model which is Elantra is the best,3014,sedan,0.0,Charcoal,528.0,Gas,0.0,auto,1.6,164649 km,104,15624
2191,I love NISSAN,my model which is Juke is the best,2015,jeep,1.0,Crimson,-9371.0,Gas,4.0,gear,1.6 Turbo,113000 KM,8,25089
2203,Toyota,my model which is Tacoma is the best,2013,JEEP,3.0,Pearl White,834.0,Gas,4.0,R,0,397915  kilo,12,27284
2221,Audi,A4,2011,sedan,4.0,Charcoal,-9293.0,Gas,4.0,auto,2.0 Turbo,190000  kilo,12,15681
2271,Mercedes-Benz,my model which is E 350 is the best,2013,coupe,1.0,Metallic,1055.0,Dies,6.0,auto,3.5,0  kilo,12,627
2312,Fiat,500L LONG,2012,WOOW Coupe,2.0,Jet Black,-9525.0,Gas,4.0,others,1.4,83545  kilo,12,10036
2366,Toyota,my model which is Camry is the best,2012,sedan,0.0,Charcoal,781.0,Electric Hybrid,4.0,AUTO,2.5,314373  kilometer,12,392
2372,Mazda,Mazda 6 TOURING,2017,WOOW Sedan,2.0,Jet Black,11249.0,Gas,4.0,AUTO,2.5,31694 KM,10,26971
2424,Hyundai,I own Sonata.,2015,sedan,3.0,Metallic,765.0,other,4.0,R,2,30258 KM,4,13799
2437,Hyundai,Sonata,2016,sedan,4.0,Metallic,10891.0,other,4.0,others,2,219432  kilometer,4,15681
2439,Honda,I have the fastest model ever.. yes you got it right it's Cr-v,1911,JEEP,6.0,Chocolate,831.0,Gas,4.0,AUTO,2.4,116000  kilo,12,21500
2451,Hyundai,my model which is Sonata is the best,2116,Sedan,5.0,Tangerine,891.0,other,4.0,auto,2,596900,4,5645
2455,Mercedes-Benz,C 36 AMG,1995,sedan,1.0,Metallic,2971.0,Gas,6.0,auto,3.6,150000 KM,1002,17249
2459,Ssangyong,I have the fastest model ever.. yes you got it right it's Actyon,2017,JEEP,3.0,Metallic,831.0,Dies,4.0,R,0,92627 km,4,41811
2483,Ssangyong,I have the fastest model ever.. yes you got it right it's Korando,2012,Pickup0,3.0,Pearl White,642.0,Dies,4.0,auto,0,TOTAL 201897 km,4,21940
2508,Chevrolet,my model which is Volt is the best,2014,HATCHBACK,4.0,Jet Black,259.0,Electric Hybrid,4.0,auto,1.4,110958  kilometer,0,220
2512,Hyundai,I have the fastest model ever.. yes you got it right it's Sonata,2015,sedan,6.0,Jet Black,441.0,Electric Hybrid,14.0,R,2.4,261928 KM,100,94
2544,Chevrolet,my model which is Malibu is the best,3016,sedan,2.0,Pearl White,891.0,Gas,4.0,auto,2,106642  kilo,4,34419
2548,Lexus,RX 450,3010,jeep,0.0,Metallic,1399.0,Electric Hybrid,6.0,others,3.5,TOTAL 311949 km,12,282
2608,Toyota,my model which is Aqua is the best,3013,hatchback,3.0,Charcoal,502.0,Gas,4.0,auto,1.5,69000 km,4,18117
2662,Toyota,my model which is Prius C is the best,2012,HATCHBACK,2.0,Crimson,503.0,Electric Hybrid,4.0,auto,1.5,107000  kilometer,12,16935
2704,Mazda,CX-9,3012,sedan,1.0,Jet Black,11113.0,Gas,6.0,auto,3.7,291840 km,12,31
2764,Honda,I have the fastest model ever.. yes you got it right it's Civic,2015,WOOW Sedan,4.0,Sapphire Blue,308.0,Electric Hybrid,4.0,gear,1.5,49272 km,0,4861
2769,Kia,my model which is Optima is the best,2012,SEDAN,0.0,Jet Black,10753.0,Electric Hybrid,4.0,R,0,100000 KM,8,20071
2814,Hyundai,Elantra,2017,sedan,3.0,Pearl White,10831.0,other,14.0,others,1.6,110000 KM,1004,23678
2852,Lexus,GX 470,2011,sedan,1.0,Pearl White,1514.0,Gas,8.0,others,0,202048  kilo,0,392
2884,Toyota,I have the fastest model ever.. yes you got it right it's Camry,2016,sedan,2.0,Sapphire Blue,1091.0,Gas,4.0,others,2.5,114389,12,1098
2974,BMW,I have the fastest model ever.. yes you got it right it's X5,2012,JEEP,4.0,Charcoal,919.0,Dies,6.0,others,3,296395 KM,0,157
2998,Lexus,RX 400,2008,WOOW Jeep,0.0,Metallic,11750.0,Electric Hybrid,0.0,auto,3.3,TOTAL 224629 km,12,8154
3007,Lexus,my model which is RX 350 is the best,2011,jeep,2.0,Jet Black,1172.0,Gas,12.0,auto,0,900000  kilo,12,27911
3017,Chevrolet,my model which is Volt is the best,2017,hatchback,3.0,Charcoal,382.0,Electric Hybrid,14.0,auto,0,125358 km,0,188
3094,Mercedes-Benz,my model which is GL 450 is the best,2013,JEEP,0.0,Jet Black,1360.0,Gas,8.0,R,4.6,230397  kilometer,12,2274
3138,Hyundai,my model which is H1 is the best,2008,MINIVAN,3.0,Metallic,1347.0,Dies,4.0,auto,2.5,134955,4,24860
3235,Toyota,my model which is RAV 4 is the best,2016,jeep,3.0,Sapphire Blue,518.0,Electric Hybrid,4.0,R,2.5,74053 km,88,549
3241,Hyundai,my model which is Tucson is the best,3016,WOOW Jeep,3.0,Pearl White,891.0,Dies,4.0,R,0,99821  kilometer,4,35902
3300,Ford,Fusion,2015,SEDAN,4.0,Jet Black,934.0,Gas,0.0,others,2.5,90000,8,19444
3305,Mercedes-Benz,I own E 350.,2011,Sedan1,2.0,Metallic,-8828.0,Dies,6.0,auto,3.5,119379  kilo,12,16621
3321,Toyota,Prius,2010,sedan,0.0,Charcoal,761.0,Electric Hybrid,0.0,auto,1.8,368000 km,111,13172
3376,Toyota,CAMRY,2013,SEDAN,5.0,Metallic,779.0,Gas,4.0,auto,2.5,78670 KM,12,392
3443,Toyota,I own RAV 4.,2014,jeep,6.0,Pearl White,777.0,Gas,4.0,others,2.5,168661 KM,12,392
3509,nissan,Juke,2012,JEEP,0.0,Jet Black,531.0,Gas,14.0,others,1.6 Turbo,99000  kilo,110,17249
3690,Hyundai,Sonata,2014,sedan,0.0,Metallic,639.0,other,0.0,others,2,268046 km,4,10036
3727,Honda,FIT,2012,UNIVERSAL,1.0,Charcoal,1111.0,Electric Hybrid,4.0,others,1.3,98000  kilo,1002,9000
3728,Hyundai,Genesis,2011,coupe,2.0,Charcoal,707.0,Gas,0.0,auto,2,117492  kilo,4,15245
3783,Hyundai,I own Tucson.,2011,Jeep,0.0,Metallic,-9293.0,Dies,4.0,auto,2,161345 km,4,21652
3842,BMW,my model which is X5 is the best,1911,WOOW Jeep,4.0,Chocolate,1018.0,Dies,6.0,auto,3,213195 KM,0,392
3853,Toyota,I own Camry.,2019,sedan,6.0,Jet Black,10607.0,Electric Hybrid,4.0,auto,2.5,9626,12,3450
3859,Toyota,Aqua,2014,Hatchback4,2.0,Crimson,501.0,Gas,4.0,R,1.5,TOTAL 157988 km,4,13764
3885,Hyundai,I have the fastest model ever.. yes you got it right it's Elantra,3014,HATCHBACK,4.0,Metallic,639.0,Gas,4.0,others,2,100037  kilometer,12,941
3896,Mercedes-Benz,I own ML 350.,2011,Jeep,1.0,Pearl White,1172.0,Dies,6.0,auto,3.5,186542 km,12,2038
3910,Toyota,I own Camry.,2012,SEDAN,2.0,Pearl White,781.0,Electric Hybrid,4.0,others,2.5,156518  kilo,12,3607
3966,Toyota,PRIUS,2013,hatchback,6.0,Metallic,585.0,Electric Hybrid,4.0,auto,1.8,492642 km,12,5175
3981,Toyota,Camry,2017,sedan,-1.0,Jet Black,1249.0,Gas,4.0,others,2.5,32000 km,10,32929
4023,Audi,100,2016,JEEP,0.0,Jet Black,1292.0,Gas,6.0,R,3,TOTAL 70782 km,1012,25089
4065,Chevrolet,I have the fastest model ever.. yes you got it right it's Cruze,2009,Sedan0,3.0,Jet Black,790.0,Gas,4.0,auto,1.6,38413 KM,4,6595
4122,Toyota,I have the fastest model ever.. yes you got it right it's Camry,2019,Sedan0,0.0,Jet Black,1325.0,Gas,4.0,AUTO,2.5,35541  kilometer,12,549
4130,Hyundai,I own Sonata.,2013,SEDAN,2.0,Sapphire Blue,751.0,Electric Hybrid,4.0,others,2.4,216208  kilo,0,1176
4131,Ssangyong,I own Actyon.,2010,jeep,5.0,Metallic,836.0,Dies,4.0,auto,2,118133  kilometer,4,18826
4236,Hyundai,I own Sonata.,2017,SEDAN,1.0,Crimson,1202.0,Gas,14.0,others,2.4,0 KM,0,18503
4266,Hyundai,SANTA FE,2014,JEEP,1.0,Charcoal,-9361.0,Dies,4.0,gear,2,163472 KM,4,40983
4310,Honda,I own FIT.,2017,WOOW Hatchback,3.0,Metallic,10784.0,Gas,4.0,auto,1.5,42642  kilometer,4,23659
4325,Opel,I own Combo.,2011,goods wagon,5.0,Pearl White,490.0,Dies,4.0,gear,1.3 Turbo,95000 KM,4,9408
4351,Hyundai,I own Elantra.,2011,sedan,6.0,Charcoal,583.0,Gas,4.0,auto,1.6,120000 KM,4,15612
4354,Toyota,Tundra,2017,sedan,6.0,Pearl White,2225.0,Gas,8.0,auto,0,190875  kilo,12,6429
4360,Honda,ODYSSEY,2011,minivan,4.0,Charcoal,1172.0,Gas,6.0,others,3.5,86000  kilometer,8,23207
4448,NISSAN is the best,MARCH,2011,hatchback,3.0,Metallic,1148.0,Gas,4.0,AUTO,1.2,58000 KM,2,6700
4464,Kia,my model which is Optima is the best,2012,sedan,0.0,Metallic,753.0,Gas,4.0,auto,2.4,178892 km,8,8154
4508,Kia,Optima,2013,sedan,6.0,Gold,-9249.0,Gas,0.0,others,2.4,TOTAL 84000 km,16,13172
4519,Jeep,RENEGADE,2017,JEEP,5.0,Crimson,1202.0,Gas,4.0,auto,2.4,TOTAL 78000 km,16,29793
4528,Opel,I have the fastest model ever.. yes you got it right it's Astra,2009,hatchback,2.0,Crimson,702.0,Gas,4.0,manual,1.4,140000  kilo,6,12231
4546,BMW,I have the fastest model ever.. yes you got it right it's 335,2013,SEDAN,1.0,Sapphire Blue,10917.0,Gas,0.0,auto,3,136291  kilo,12,706
4592,Toyota,TACOMA,2017,WOOW Sedan,6.0,Metallic,1714.0,Gas,6.0,auto,3.5,174827  kilo,12,3763
4616,Toyota,I have the fastest model ever.. yes you got it right it's Tacoma,2013,Jeep,2.0,Pearl White,834.0,Gas,4.0,others,2.7,265558 KM,12,14583
4709,Mercedes-Benz,my model which is E 350 is the best,2014,sedan,3.0,Charcoal,1053.0,Gas,6.0,auto,3.5,146395 km,12,1882
4720,Dodge,Caliber,2010,HATCHBACK,2.0,Metallic,836.0,Gas,4.0,auto,2,TOTAL 114000 km,8,13172
4726,Toyota,I have the fastest model ever.. yes you got it right it's Prius,2011,sedan,2.0,Pearl White,552.0,Electric Hybrid,4.0,auto,1.5,250000  kilometer,10,16621
4735,Ssangyong,Actyon,2016,jeep,0.0,Pearl White,-9270.0,Gas,0.0,gear,1.6,51787  kilo,4,39201
4748,Chevrolet,CRUZE,2014,sedan,4.0,Metallic,473.0,Gas,4.0,auto,0,70222 km,10,15053
4781,Toyota,VENZA,2013,JEEP,4.0,Pearl White,834.0,Gas,4.0,auto,2.7,186349 km,12,3450
4809,Toyota,my model which is Tundra is the best,2114,jeep,4.0,Jet Black,1659.0,Gas,8.0,R,5.7,101928 KM,12,188
4862,Hyundai,my model which is Tucson is the best,2010,JEEP,4.0,Metallic,836.0,Dies,4.0,auto,2,102138 KM,4,27065
4867,Hyundai,I own Sonata.,2013,SEDAN,7.0,Jet Black,640.0,Gas,4.0,auto,2,52668 km,4,12858
4907,Hyundai,SONATA,2010,Sedan4,5.0,Jet Black,836.0,other,4.0,auto,2,116346  kilo,4,7056
4942,Hyundai,H1,2009,minivan,2.0,Metallic,11185.0,Dies,4.0,auto,2.5,176878,4,15053
4986,Mercedes-Benz,I have the fastest model ever.. yes you got it right it's ML 350,2111,JEEP,2.0,Jet Black,1172.0,Dies,6.0,AUTO,0,220323 km,12,157
5121,BMW,528,2013,sedan,1.0,Charcoal,-9360.0,Gas,14.0,gear,2,140944 km,12,706
5132,Ssangyong,REXTON,2009,jeep,2.0,Metallic,-8727.0,Dies,4.0,AUTO,2.7,163240 km,4,20532
5137,Volkswagen,Vento,1996,sedan,2.0,Jet Black,1688.0,Gas,4.0,others,2,203658 km,2,3000
5148,BMW,X5,2015,jeep,0.0,Jet Black,1104.0,Dies,6.0,auto,3,201056  kilo,0,3607
5159,Kia,my model which is Optima is the best,2012,WOOW Sedan,1.0,Metallic,641.0,Gas,4.0,auto,0,345673  kilometer,4,6743
5227,Hyundai,Sonata,2011,Sedan,3.0,Jet Black,707.0,Gas,4.0,R,2,129085 km,4,17158
5292,NISSAN,I have the fastest model ever.. yes you got it right it's Kicks,2018,jeep,1.0,Charcoal,-9120.0,Gas,4.0,others,1.6,8000 KM,0,24775
5317,Toyota,TUNDRA,2014,Sedan4,2.0,Pearl White,11659.0,Gas,8.0,others,5.7,0  kilo,12,3293
5335,GMC,TERRAIN,1919,sedan,2.0,Jet Black,11077.0,Gas,4.0,R,2,35898  kilo,12,14269
5343,Hyundai,Tucson,2014,jeep,1.0,Pearl White,639.0,Dies,4.0,auto,2,120272 km,4,28617
5366,Volkswagen,I own Tiguan.,2012,JEEP,1.0,Royal Purple,642.0,Gas,4.0,others,2.0 Turbo,48379,14,21326
5481,VAZ,I have the fastest model ever.. yes you got it right it's 2121 (Niva),2014,Jeep3,2.0,Emerald Green,556.0,Gas,14.0,gear,1.7,35000  kilometer,98,18503
5537,Mercedes-Benz,I have the fastest model ever.. yes you got it right it's E 550,2008,Sedan,3.0,Jet Black,2858.0,Gas,0.0,AUTO,5.5,162000 km,12,26657
5570,Mercedes-Benz,E 300,3017,Sedan1,2.0,Jet Black,1017.0,Gas,4.0,auto,2,50930  kilo,12,22580
5590,Ford,Fusion,2012,Sedan3,4.0,Charcoal,781.0,Gas,4.0,auto,0,109536 km,12,1176
5642,BMW,535,2011,Sedan,3.0,Metallic,1018.0,Gas,16.0,R,3,128086 km,0,17249
5643,Toyota,Prius,2014,HATCHBACK,2.0,Charcoal,271.0,Electric Hybrid,4.0,others,1.5,54845  kilo,0,15681
5655,Subaru,I have the fastest model ever.. yes you got it right it's Forester,2115,jeep,0.0,Pearl White,934.0,Gas,4.0,AUTO,0,90392,0,6899
5660,Ford,I own Fusion.,2013,sedan,3.0,Jet Black,640.0,Gas,6.0,auto,2,89000  kilo,12,18503
5668,Volkswagen,I have the fastest model ever.. yes you got it right it's Tiguan,2010,Jeep,2.0,Pearl White,10836.0,Gas,4.0,auto,2,TOTAL 185496 km,88,549
5676,Volkswagen,TIGUAN,1912,jeep,3.0,Jet Black,642.0,Gas,4.0,others,2.0 Turbo,194603 KM,12,18817
5691,Porsche,PANAMERA,2015,sedan,1.0,Charcoal,10530.0,Electric Hybrid,0.0,others,3,0 km,12,26030
5698,Ssangyong,Actyon,2011,SEDAN,3.0,Metallic,707.0,Dies,4.0,auto,2,194314 km,4,16160
5754,Chevrolet,Malibu,2013,sedan,1.0,Metallic,779.0,Gas,0.0,others,2.5,0 KM,12,1960
5791,Mercedes-Benz,C 300,2017,COUPE,3.0,Jet Black,11017.0,Gas,4.0,others,0,63987 km,12,1646
5833,Toyota,PRIUS,2009,sedan,2.0,Pearl White,-9122.0,Electric Hybrid,4.0,others,1.8,195000  kilo,8,15053
5853,Hyundai,my model which is Sonata is the best,2016,SEDAN,7.0,Jet Black,1051.0,Gas,4.0,gear,0,72000 KM,12,20385
5875,Hyundai,Sonata,2016,sedan,3.0,Metallic,-9109.0,other,4.0,others,2,258906,104,11290
5890,Toyota,my model which is Camry is the best,2013,sedan,-1.0,Pearl White,779.0,Gas,6.0,auto,2.5,10000  kilo,15,20385
5902,Chevrolet,VOLT,2014,Hatchback1,2.0,Chocolate,-9741.0,Electric Hybrid,4.0,auto,1.4,131893  kilo,0,314
5919,Hyundai,TUCSON,2012,JEEP,2.0,Jet Black,753.0,Gas,6.0,auto,2.4,159000,10,25089
5925,BMW,X5,2014,Jeep,-1.0,Sapphire Blue,915.0,Dies,6.0,auto,3,141384  kilo,100,7056
5927,Toyota,Highlander,2010,sedan,4.0,Sapphire Blue,1324.0,Electric Hybrid,6.0,others,3.3,316912 km,12,125
5928,Honda,FIT,2011,HATCHBACK,1.0,Sapphire Blue,1236.0,Electric Hybrid,4.0,others,1.3,116048,4,8500
5942,Ssangyong,I have the fastest model ever.. yes you got it right it's Actyon,2011,Jeep,2.0,Pearl White,10707.0,Dies,4.0,auto,2,TOTAL 72080 km,4,21473
5949,Hyundai,I own Tucson.,2016,WOOW Jeep,1.0,Pearl White,-9109.0,Dies,4.0,auto,2,47090  kilo,96,36564
5967,Toyota,my model which is Camry is the best,2014,Sedan,5.0,Pearl White,-9606.0,Electric Hybrid,4.0,auto,2.5,130478 km,12,862
5976,Daewoo,my model which is Lacetti is the best,2009,sedan,2.0,Jet Black,790.0,Gas,4.0,auto,1.6,107125,4,5802
5977,Ford,I have the fastest model ever.. yes you got it right it's Fusion,2010,sedan,3.0,Pearl White,1211.0,Gas,6.0,auto,3,150000  kilo,8,2822
5992,Chevrolet,I have the fastest model ever.. yes you got it right it's Orlando,2012,jeep,1.0,Charcoal,642.0,Dies,4.0,others,0,152595 KM,4,17449
6046,Chevrolet,Cruze,2015,sedan,2.0,Pearl White,562.0,Gas,4.0,others,1.4 Turbo,88000  kilo,12,19444
6073,Toyota,COROLLA,2020,Sedan3,4.0,Sapphire Blue,460.0,Electric Hybrid,4.0,auto,1.8,7467  kilometer,12,6899
6096,Hyundai,I30,2008,SEDAN,1.0,Metallic,893.0,Gas,4.0,auto,1.6,136935  kilo,4,10976
6126,Honda,FIT,2013,Hatchback4,8.0,Sapphire Blue,447.0,Electric Hybrid,4.0,auto,1.3,151715 km,4,5134
6153,Hyundai,Sonata,2015,SEDAN,2.0,Tangerine,765.0,other,4.0,auto,2,547405  kilo,4,12544
6175,Chevrolet,my model which is Lacetti is the best,2009,sedan,5.0,Charcoal,790.0,Gas,4.0,gear,0,TOTAL 96959 km,4,10092
6218,Toyota,my model which is Camry is the best,2017,Sedan2,6.0,Sapphire Blue,1249.0,Gas,14.0,R,2.5,74029 km,12,14583
6226,Hyundai,Genesis,2110,sedan,4.0,Metallic,1324.0,Gas,0.0,AUTO,3.3,TOTAL 235729 km,96,17484
